GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,DSN001,DSN002
"G3400270","1980","1","2","New Jersey","34","5640","Morris","027",,,,"70",,,,,"MORRIS COUNTY",114963,3226
"G3400290","1980","1","2","New Jersey","34",,"Ocean","029",,,,,,,,,"OCEAN COUNTY",107730,6314
"G3400310","1980","1","2","New Jersey","34","6040","Passaic","031",,,,"70",,,,,"PASSAIC COUNTY",124635,11195
"G3400330","1980","1","2","New Jersey","34","9160","Salem","033",,,,"77",,,,,"SALEM COUNTY",17827,1465
"G3400350","1980","1","2","New Jersey","34","5640","Somerset","035",,,,"70",,,,,"SOMERSET COUNTY",57675,2029
"G3400370","1980","1","2","New Jersey","34",,"Sussex","037",,,,,,,,,"SUSSEX COUNTY",32216,1300
"G3400390","1980","1","2","New Jersey","34","5640","Union","039",,,,"70",,,,,"UNION COUNTY",145266,8237
"G3400410","1980","1","2","New Jersey","34","0240","Warren","041",,,,,,,,,"WARREN COUNTY",25084,1222
"G3500010","1980","4","8","New Mexico","35","0200","Bernalillo","001",,,,,,,,,"BERNALILLO COUNTY",126581,8413
"G3500030","1980","4","8","New Mexico","35",,"Catron","003",,,,,,,,,"CATRON COUNTY",832,52
"G3500050","1980","4","8","New Mexico","35",,"Chaves","005",,,,,,,,,"CHAVES COUNTY",15193,1222
"G3500070","1980","4","8","New Mexico","35",,"Colfax","007",,,,,,,,,"COLFAX COUNTY",4123,330
"G3500090","1980","4","8","New Mexico","35",,"Curry","009",,,,,,,,,"CURRY COUNTY",12368,933
"G3500110","1980","4","8","New Mexico","35",,"De Baca","011",,,,,,,,,"DE BACA COUNTY",850,65
"G3500130","1980","4","8","New Mexico","35","4100","Dona Ana","013",,,,,,,,,"DONA ANA COUNTY",25008,1850
"G3500150","1980","4","8","New Mexico","35",,"Eddy","015",,,,,,,,,"EDDY COUNTY",13969,975
"G3500170","1980","4","8","New Mexico","35",,"Grant","017",,,,,,,,,"GRANT COUNTY",7651,386
"G3500190","1980","4","8","New Mexico","35",,"Guadalupe","019",,,,,,,,,"GUADALUPE COUNTY",1100,178
"G3500210","1980","4","8","New Mexico","35",,"Harding","021",,,,,,,,,"HARDING COUNTY",395,16
"G3500230","1980","4","8","New Mexico","35",,"Hidalgo","023",,,,,,,,,"HIDALGO COUNTY",1645,126
"G3500250","1980","4","8","New Mexico","35",,"Lea","025",,,,,,,,,"LEA COUNTY",16357,850
"G3500270","1980","4","8","New Mexico","35",,"Lincoln","027",,,,,,,,,"LINCOLN COUNTY",2813,149
"G3500280","1980","4","8","New Mexico","35",,"Los Alamos","028",,,,,,,,,"LOS ALAMOS COUNTY",5718,64
"G3500290","1980","4","8","New Mexico","35",,"Luna","029",,,,,,,,,"LUNA COUNTY",4202,476
"G3500310","1980","4","8","New Mexico","35",,"McKinley","031",,,,,,,,,"MCKINLEY COUNTY",10245,1558
"G3500330","1980","4","8","New Mexico","35",,"Mora","033",,,,,,,,,"MORA COUNTY",1057,247
"G3500350","1980","4","8","New Mexico","35",,"Otero","035",,,,,,,,,"OTERO COUNTY",12825,695
"G3500370","1980","4","8","New Mexico","35",,"Quay","037",,,,,,,,,"QUAY COUNTY",3303,236
"G3500390","1980","4","8","New Mexico","35",,"Rio Arriba","039",,,,,,,,,"RIO ARRIBA COUNTY",5735,940
"G3500410","1980","4","8","New Mexico","35",,"Roosevelt","041",,,,,,,,,"ROOSEVELT COUNTY",4554,377
"G3500430","1980","4","8","New Mexico","35","0200","Sandoval","043",,,,,,,,,"SANDOVAL COUNTY",8249,735
"G3500450","1980","4","8","New Mexico","35",,"San Juan","045",,,,,,,,,"SAN JUAN COUNTY",19389,1467
"G3500470","1980","4","8","New Mexico","35",,"San Miguel","047",,,,,,,,,"SAN MIGUEL COUNTY",5426,1003
