GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,HV5001,HV5002,HV5003,HV5004
"G0500430","2000","3","7","Arkansas","05","Drew","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Drew County",2414,6656,2403,7250
"G0500450","2000","3","7","Arkansas","05","Faulkner","045",,,,,,,,,,,,,"4400","9999","9999",,,,,,,"Faulkner County",11445,30683,10575,33311
"G0500470","2000","3","7","Arkansas","05","Franklin","047",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Franklin County",2379,6468,2200,6724
"G0500490","2000","3","7","Arkansas","05","Fulton","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Fulton County",1392,4322,1266,4662
"G0500510","2000","3","7","Arkansas","05","Garland","051",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Garland County",9600,32693,9320,36455
"G0500530","2000","3","7","Arkansas","05","Grant","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Grant County",2234,5970,2054,6206
"G0500550","2000","3","7","Arkansas","05","Greene","055",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Greene County",4798,13387,4547,14599
"G0500570","2000","3","7","Arkansas","05","Hempstead","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Hempstead County",3173,8094,3256,9064
"G0500590","2000","3","7","Arkansas","05","Hot Spring","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Hot Spring County",3904,10997,3675,11777
"G0500610","2000","3","7","Arkansas","05","Howard","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Howard County",1915,4979,1929,5477
"G0500630","2000","3","7","Arkansas","05","Independence","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Independence County",4419,12442,3984,13388
"G0500650","2000","3","7","Arkansas","05","Izard","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Izard County",1408,5258,1370,5213
"G0500670","2000","3","7","Arkansas","05","Jackson","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Jackson County",2038,6648,2061,7671
"G0500690","2000","3","7","Arkansas","05","Jefferson","069",,,,,,,,,,,,,"6240","9999","9999",,,,,,,"Jefferson County",11143,30016,10843,32276
"G0500710","2000","3","7","Arkansas","05","Johnson","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Johnson County",2984,8309,2729,8759
"G0500730","2000","3","7","Arkansas","05","Lafayette","073",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Lafayette County",1142,2956,1020,3441
"G0500750","2000","3","7","Arkansas","05","Lawrence","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Lawrence County",2179,6418,2063,7114
"G0500770","2000","3","7","Arkansas","05","Lee","077",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Lee County",1564,5045,1730,4241
